subject	activity	timefreq	acceleration	instrument	jerk	magnitude	variable	axis	count	average
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	X	302	-0.952739665761589
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	Y	302	-0.93640693794702
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	Z	302	-0.915574979900662
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	magnitude	mean	NA	302	0.118514068635199
2	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	magnitude	std	NA	302	0.14312198517606
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	X	302	-0.205432732150993
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	Y	302	-0.241866530006291
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	Z	302	-0.101675689389404
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	X	302	-0.38867268984702
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	Y	302	-0.325273333202318
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	Z	302	-0.372463114566225
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	magnitude	mean	NA	302	-0.218176297085762
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	magnitude	std	NA	302	-0.351181900931788
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	jerk	magnitude	mean	NA	302	-0.348835105839404
2	WALKING_DOWNSTAIRS	freq	NA	gyroscope	jerk	magnitude	std	NA	302	-0.413127741605066
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	X	302	0.096505404997351
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	Y	302	0.0938619387962252
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	Z	302	-0.233906936681126
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	X	302	0.135520751677483
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	Y	302	0.0151586601831126
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	Z	302	-0.269217256620861
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	magnitude	mean	NA	302	0.187853894668543
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	magnitude	std	NA	302	-0.0646378284228477
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	X	302	0.0106349769347682
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	Y	302	-0.0660949804215232
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	Z	302	-0.335405806431457
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	X	302	-0.0131711578886689
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	Y	302	-0.00420123594939404
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	Z	302	-0.43598479160596
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	magnitude	mean	NA	302	0.080722683261457
2	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	magnitude	std	NA	302	-0.0138870004794702
3	LAYING	time	NA	gyroscope	NA	NA	mean	X	341	-0.0172235685821947
3	LAYING	time	NA	gyroscope	NA	NA	mean	Y	341	-0.0944960183806452
3	LAYING	time	NA	gyroscope	NA	NA	mean	Z	341	0.116844017170088
3	LAYING	time	NA	gyroscope	NA	NA	std	X	341	-0.970744298768328
3	LAYING	time	NA	gyroscope	NA	NA	std	Y	341	-0.965782081319648
3	LAYING	time	NA	gyroscope	NA	NA	std	Z	341	-0.969491624134897
3	LAYING	time	NA	gyroscope	NA	magnitude	mean	NA	341	-0.947500823665689
3	LAYING	time	NA	gyroscope	NA	magnitude	std	NA	341	-0.945922319912023
3	LAYING	time	NA	gyroscope	jerk	NA	mean	X	341	-0.101601098967742
3	LAYING	time	NA	gyroscope	jerk	NA	mean	Y	341	-0.0377002560644839
3	LAYING	time	NA	gyroscope	jerk	NA	mean	Z	341	-0.0598310983017595
3	LAYING	time	NA	gyroscope	jerk	NA	std	X	341	-0.97918473170088
3	LAYING	time	NA	gyroscope	jerk	NA	std	Y	341	-0.982936728973607
3	LAYING	time	NA	gyroscope	jerk	NA	std	Z	341	-0.986458732756598
3	LAYING	time	NA	gyroscope	jerk	magnitude	mean	NA	341	-0.985582707243402
3	LAYING	time	NA	gyroscope	jerk	magnitude	std	NA	341	-0.97957405170088
3	LAYING	time	body	accelerometer	NA	NA	mean	X	341	0.271061989695015
3	LAYING	time	body	accelerometer	NA	NA	mean	Y	341	-0.0160574519173314
3	LAYING	time	body	accelerometer	NA	NA	mean	Z	341	-0.106675509205572
3	LAYING	time	body	accelerometer	NA	NA	std	X	341	-0.968081417636364
3	LAYING	time	body	accelerometer	NA	NA	std	Y	341	-0.949313073372434
3	LAYING	time	body	accelerometer	NA	NA	std	Z	341	-0.948235421659824
3	LAYING	time	body	accelerometer	NA	magnitude	mean	NA	341	-0.955237661466276
3	LAYING	time	body	accelerometer	NA	magnitude	std	NA	341	-0.942244112434018
3	LAYING	time	body	accelerometer	jerk	NA	mean	X	341	0.080353494098827
3	LAYING	time	body	accelerometer	jerk	NA	mean	Y	341	0.0082849293431085
3	LAYING	time	body	accelerometer	jerk	NA	mean	Z	341	-0.00614905309972141
3	LAYING	time	body	accelerometer	jerk	NA	std	X	341	-0.982348385513196
3	LAYING	time	body	accelerometer	jerk	NA	std	Y	341	-0.975209045923754
3	LAYING	time	body	accelerometer	jerk	NA	std	Z	341	-0.981659228005865
3	LAYING	time	body	accelerometer	jerk	magnitude	mean	NA	341	-0.981770004193548
3	LAYING	time	body	accelerometer	jerk	magnitude	std	NA	341	-0.978149685102639
3	LAYING	time	gravity	accelerometer	NA	NA	mean	X	341	-0.214563529014663
3	LAYING	time	gravity	accelerometer	NA	NA	mean	Y	341	0.586831435659824
3	LAYING	time	gravity	accelerometer	NA	NA	mean	Z	341	0.538369651695015
3	LAYING	time	gravity	accelerometer	NA	NA	std	X	341	-0.952968620205279
3	LAYING	time	gravity	accelerometer	NA	NA	std	Y	341	-0.972150402991202
3	LAYING	time	gravity	accelerometer	NA	NA	std	Z	341	-0.956414591935484
3	LAYING	time	gravity	accelerometer	NA	magnitude	mean	NA	341	-0.955237661466276
3	LAYING	time	gravity	accelerometer	NA	magnitude	std	NA	341	-0.942244112434018
3	LAYING	freq	NA	gyroscope	NA	NA	mean	X	341	-0.967075293108504
3	LAYING	freq	NA	gyroscope	NA	NA	mean	Y	341	-0.968827318504399
3	LAYING	freq	NA	gyroscope	NA	NA	mean	Z	341	-0.969549400322581
3	LAYING	freq	NA	gyroscope	NA	NA	std	X	341	-0.972112849090909
3	LAYING	freq	NA	gyroscope	NA	NA	std	Y	341	-0.964520859120235
3	LAYING	freq	NA	gyroscope	NA	NA	std	Z	341	-0.972282979002932
3	LAYING	freq	NA	gyroscope	NA	magnitude	mean	NA	341	-0.959395377360704
3	LAYING	freq	NA	gyroscope	NA	magnitude	std	NA	341	-0.946880049032258
3	LAYING	freq	NA	gyroscope	jerk	magnitude	mean	NA	341	-0.98081801058651
3	LAYING	freq	NA	gyroscope	jerk	magnitude	std	NA	341	-0.979208243900293
3	LAYING	freq	body	accelerometer	NA	NA	mean	X	341	-0.972102076568915
3	LAYING	freq	body	accelerometer	NA	NA	mean	Y	341	-0.958382244985337
3	LAYING	freq	body	accelerometer	NA	NA	mean	Z	341	-0.96164589483871
3	LAYING	freq	body	accelerometer	NA	NA	std	X	341	-0.966773080478006
3	LAYING	freq	body	accelerometer	NA	NA	std	Y	341	-0.94773730726393
3	LAYING	freq	body	accelerometer	NA	NA	std	Z	341	-0.944867576510264
3	LAYING	freq	body	accelerometer	NA	magnitude	mean	NA	341	-0.955983998243402
3	LAYING	freq	body	accelerometer	NA	magnitude	std	NA	341	-0.944063420527859
3	LAYING	freq	body	accelerometer	jerk	NA	mean	X	341	-0.982300736891496
3	LAYING	freq	body	accelerometer	jerk	NA	mean	Y	341	-0.975564942140762
3	LAYING	freq	body	accelerometer	jerk	NA	mean	Z	341	-0.97888804686217
3	LAYING	freq	body	accelerometer	jerk	NA	std	X	341	-0.984055123577713
3	LAYING	freq	body	accelerometer	jerk	NA	std	Y	341	-0.976656469120235
3	LAYING	freq	body	accelerometer	jerk	NA	std	Z	341	-0.983061973958944
3	LAYING	freq	body	accelerometer	jerk	magnitude	mean	NA	341	-0.978256432697947
3	LAYING	freq	body	accelerometer	jerk	magnitude	std	NA	341	-0.976993325777126
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	X	317	-0.0715712803381704
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	Y	317	-0.0486837334911672
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	mean	Z	317	0.08026968035653
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	X	317	-0.293350054982965
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	Y	317	-0.3188406416347
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	NA	std	Z	317	-0.218364301744479
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	magnitude	mean	NA	317	-0.0757030235635331
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	NA	magnitude	std	NA	317	-0.237514537550158
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	X	317	-0.0783134194550473
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	Y	317	-0.0537461631008517
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	mean	Z	317	-0.0578345982087697
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	X	317	-0.422562337559306
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	Y	317	-0.460886265709779
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	NA	std	Z	317	-0.310116935729243
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	magnitude	mean	NA	317	-0.411513578914826
4	WALKING_DOWNSTAIRS	time	NA	gyroscope	jerk	magnitude	std	NA	317	-0.472295692457098
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	X	317	0.287436091750789
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	Y	317	-0.0160603817574827
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	mean	Z	317	-0.106688390893306
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	X	317	0.269132807154574
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	Y	317	0.185864237970757
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	NA	std	Z	317	-0.0647020951665615
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	magnitude	mean	NA	317	0.275987400636183
4	WALKING_DOWNSTAIRS	time	body	accelerometer	NA	magnitude	std	NA	317	0.245052449247571
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	X	317	0.0869250625873817
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	Y	317	-0.00400318038094637
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	mean	Z	317	-0.00735453174233438
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	X	317	0.0608839116818296
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	Y	317	-0.0253005364176656
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	NA	std	Z	317	-0.318369338432618
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	magnitude	mean	NA	317	-0.0286335007219874
4	WALKING_DOWNSTAIRS	time	body	accelerometer	jerk	magnitude	std	NA	317	0.0658448944851735
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	X	317	0.898566216466877
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	Y	317	-0.203119003504732
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	mean	Z	317	-0.133743085452997
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	X	317	-0.937914161514196
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	Y	317	-0.935258601167192
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	NA	std	Z	317	-0.907162214574133
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	magnitude	mean	NA	317	0.275987400636183
4	WALKING_DOWNSTAIRS	time	gravity	accelerometer	NA	magnitude	std	NA	317	0.245052449247571
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	X	317	-0.205032630040379
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	Y	317	-0.301696433315457
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	mean	Z	317	-0.112362029793375
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	X	317	-0.326078250336278
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	Y	317	-0.33709133145041
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	NA	std	Z	317	-0.329536729208833
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	magnitude	mean	NA	317	-0.289531267135331
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	NA	magnitude	std	NA	317	-0.338251849476719
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	jerk	magnitude	mean	NA	317	-0.457414248723533
4	WALKING_DOWNSTAIRS	freq	NA	gyroscope	jerk	magnitude	std	NA	317	-0.53246034362776
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	X	317	0.141030879412208
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	Y	317	0.149690339056909
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	mean	Z	317	-0.103555561177508
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	X	317	0.313341163028297
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	Y	317	0.127844743425552
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	NA	std	Z	317	-0.121147553121136
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	magnitude	mean	NA	317	0.265058634035331
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	NA	magnitude	std	NA	317	0.0366049145908517
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	X	317	-0.00143122468895899
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	Y	317	-0.0651839689003155
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	mean	Z	317	-0.254894696110726
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	X	317	0.0294779582347634
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	Y	317	-0.048857671587224
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	NA	std	Z	317	-0.381271827990032
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	magnitude	mean	NA	317	0.0879155431494637
4	WALKING_DOWNSTAIRS	freq	body	accelerometer	jerk	magnitude	std	NA	317	0.0263139180943218
5	LAYING	time	NA	gyroscope	NA	NA	mean	X	302	-0.0194404096651656
5	LAYING	time	NA	gyroscope	NA	NA	mean	Y	302	-0.101695521377152
5	LAYING	time	NA	gyroscope	NA	NA	mean	Z	302	0.117839759427152
5	LAYING	time	NA	gyroscope	NA	NA	std	X	302	-0.961082474437086
5	LAYING	time	NA	gyroscope	NA	NA	std	Y	302	-0.95289138013245
5	LAYING	time	NA	gyroscope	NA	NA	std	Z	302	-0.958035298642384
5	LAYING	time	NA	gyroscope	NA	magnitude	mean	NA	302	-0.923448880695364
5	LAYING	time	NA	gyroscope	NA	magnitude	std	NA	302	-0.931437749569536
5	LAYING	time	NA	gyroscope	jerk	NA	mean	X	302	-0.0988077684523179
5	LAYING	time	NA	gyroscope	jerk	NA	mean	Y	302	-0.0368856386018543
5	LAYING	time	NA	gyroscope	jerk	NA	mean	Z	302	-0.0624772835629139
5	LAYING	time	NA	gyroscope	jerk	NA	std	X	302	-0.975242142913907
5	LAYING	time	NA	gyroscope	jerk	NA	std	Y	302	-0.97945821986755
5	LAYING	time	NA	gyroscope	jerk	NA	std	Z	302	-0.984944531456954
5	LAYING	time	NA	gyroscope	jerk	magnitude	mean	NA	302	-0.981798305496689
5	LAYING	time	NA	gyroscope	jerk	magnitude	std	NA	302	-0.976469042450331
5	LAYING	time	body	accelerometer	NA	NA	mean	X	302	0.272551228748344
5	LAYING	time	body	accelerometer	NA	NA	mean	Y	302	-0.0185732943740397
5	LAYING	time	body	accelerometer	NA	NA	mean	Z	302	-0.105394665125828
5	LAYING	time	body	accelerometer	NA	NA	std	X	302	-0.943223420397351
5	LAYING	time	body	accelerometer	NA	NA	std	Y	302	-0.910625531758278
5	LAYING	time	body	accelerometer	NA	NA	std	Z	302	-0.929004396996689
5	LAYING	time	body	accelerometer	NA	magnitude	mean	NA	302	-0.898054940254967
5	LAYING	time	body	accelerometer	NA	magnitude	std	NA	302	-0.89871759931457
5	LAYING	time	body	accelerometer	jerk	NA	mean	X	302	0.0813251823758278
5	LAYING	time	body	accelerometer	jerk	NA	mean	Y	302	0.013652239112947
5	LAYING	time	body	accelerometer	jerk	NA	mean	Z	302	-0.00978930157013907
5	LAYING	time	body	accelerometer	jerk	NA	std	X	302	-0.97945226115894
5	LAYING	time	body	accelerometer	jerk	NA	std	Y	302	-0.967674992880795
5	LAYING	time	body	accelerometer	jerk	NA	std	Z	302	-0.980404764701987
5	LAYING	time	body	accelerometer	jerk	magnitude	mean	NA	302	-0.978285356291391
5	LAYING	time	body	accelerometer	jerk	magnitude	std	NA	302	-0.972957609536424
5	LAYING	time	gravity	accelerometer	NA	NA	mean	X	302	-0.417383694086093
5	LAYING	time	gravity	accelerometer	NA	NA	mean	Y	302	0.577428431619205
5	LAYING	time	gravity	accelerometer	NA	NA	mean	Z	302	0.784869303013245
5	LAYING	time	gravity	accelerometer	NA	NA	std	X	302	-0.921352966291391
5	LAYING	time	gravity	accelerometer	NA	NA	std	Y	302	-0.929417627404305
5	LAYING	time	gravity	accelerometer	NA	NA	std	Z	302	-0.927350781092715
